Disease,Description,Symptoms,Precautions,Medicines,Dosage,Emergency_Signs,Lifestyle_Tips
Disease_124,A simulated disease profile for Disease_124 with common medical symptoms and treatments.,"Blurred vision,Dizziness,Headache,Joint pain,Cough","Maintain hygiene,Use protective gear,Eat a balanced diet","Azithromycin,Ibuprofen,Omeprazole","100mg once daily,500mg twice a day","Severe chest pain,Difficulty breathing","Adequate sleep,Daily exercise,Limit alcohol intake"
Disease_125,A simulated disease profile for Disease_125 with common medical symptoms and treatments.,"Loss of appetite,Fever,Nausea,Rash,Headache","Maintain hygiene,Use protective gear,Avoid contact with infected individuals","Ibuprofen,Azithromycin,Prednisone","500mg twice a day,1 tablet after meals","Difficulty breathing,Severe dehydration","Avoid smoking,Stress management,Hydration"
Disease_126,A simulated disease profile for Disease_126 with common medical symptoms and treatments.,"Shortness of breath,Fever,Cough,Loss of appetite,Chest pain","Avoid spicy food,Maintain hygiene,Regular hand washing","Cetirizine,Amoxicillin,Azithromycin","1 tablet after meals,250mg every 6 hours","High-grade fever,Severe dehydration","Daily exercise,Regular checkups,Adequate sleep"
Disease_127,A simulated disease profile for Disease_127 with common medical symptoms and treatments.,"Cough,Vomiting,Chest pain,Loss of appetite,Joint pain","Avoid contact with infected individuals,Rest adequately,Drink plenty of water","Azithromycin,Aspirin,Amoxicillin","10ml thrice a day,1 tablet after meals","High-grade fever,Severe chest pain","Hydration,Avoid smoking,Limit alcohol intake"
Disease_128,A simulated disease profile for Disease_128 with common medical symptoms and treatments.,"Rash,Loss of appetite,Joint pain,Sore throat,Muscle pain","Avoid contact with infected individuals,Avoid spicy food,Physical distancing","Cetirizine,Metformin,Azithromycin","250mg every 6 hours,100mg once daily","Uncontrolled bleeding,Loss of consciousness","Regular checkups,Low-fat diet,Limit alcohol intake"
Disease_129,A simulated disease profile for Disease_129 with common medical symptoms and treatments.,"Sore throat,Vomiting,Headache,Rash,Joint pain","Maintain hygiene,Drink plenty of water,Avoid contact with infected individuals","Azithromycin,Ibuprofen,Metformin","500mg twice a day,100mg once daily","Loss of consciousness,Difficulty breathing","Avoid smoking,Regular checkups,Low-fat diet"
Disease_130,A simulated disease profile for Disease_130 with common medical symptoms and treatments.,"Fever,Shortness of breath,Joint pain,Nausea,Fatigue","Maintain hygiene,Physical distancing,Drink plenty of water","Omeprazole,Ibuprofen,Azithromycin","10ml thrice a day,100mg once daily","High-grade fever,Severe chest pain","Limit alcohol intake,Low-fat diet,Daily exercise"
Disease_131,A simulated disease profile for Disease_131 with common medical symptoms and treatments.,"Headache,Nausea,Shortness of breath,Fever,Sore throat","Maintain hygiene,Avoid spicy food,Avoid contact with infected individuals","Metformin,Ibuprofen,Prednisone","10ml thrice a day,100mg once daily","High-grade fever,Difficulty breathing","Adequate sleep,Daily exercise,Limit alcohol intake"
Disease_132,A simulated disease profile for Disease_132 with common medical symptoms and treatments.,"Dizziness,Headache,Loss of appetite,Muscle pain,Fever","Regular hand washing,Drink plenty of water,Use protective gear","Metformin,Loratadine,Ibuprofen","500mg twice a day,100mg once daily","Severe dehydration,Difficulty breathing","Hydration,Avoid smoking,Stress management"
Disease_133,A simulated disease profile for Disease_133 with common medical symptoms and treatments.,"Vomiting,Dizziness,Muscle pain,Rash,Sore throat","Avoid contact with infected individuals,Drink plenty of water,Eat a balanced diet","Cetirizine,Amoxicillin,Azithromycin","200mg every 8 hours,250mg every 6 hours","High-grade fever,Severe chest pain","Avoid smoking,Hydration,Stress management"
Disease_134,A simulated disease profile for Disease_134 with common medical symptoms and treatments.,"Cough,Shortness of breath,Nausea,Muscle pain,Dizziness","Eat a balanced diet,Avoid contact with infected individuals,Maintain hygiene","Prednisone,Paracetamol,Amoxicillin","200mg every 8 hours,1 tablet after meals","Difficulty breathing,High-grade fever","Adequate sleep,Daily exercise,Regular checkups"
Disease_135,A simulated disease profile for Disease_135 with common medical symptoms and treatments.,"Chest pain,Shortness of breath,Vomiting,Blurred vision,Joint pain","Use protective gear,Rest adequately,Avoid spicy food","Azithromycin,Loratadine,Paracetamol","100mg once daily,10ml thrice a day","Severe dehydration,Difficulty breathing","Regular checkups,Adequate sleep,Limit alcohol intake"
Disease_136,A simulated disease profile for Disease_136 with common medical symptoms and treatments.,"Cough,Rash,Muscle pain,Sore throat,Joint pain","Rest adequately,Vaccination,Avoid contact with infected individuals","Metformin,Omeprazole,Amoxicillin","100mg once daily,1 tablet after meals","Severe dehydration,Loss of consciousness","Regular checkups,Low-fat diet,Limit alcohol intake"
Disease_137,A simulated disease profile for Disease_137 with common medical symptoms and treatments.,"Nausea,Loss of appetite,Chest pain,Sore throat,Rash","Physical distancing,Rest adequately,Drink plenty of water","Amoxicillin,Prednisone,Metformin","500mg twice a day,200mg every 8 hours","Severe chest pain,Loss of consciousness","Avoid smoking,Low-fat diet,Daily exercise"
Disease_138,A simulated disease profile for Disease_138 with common medical symptoms and treatments.,"Shortness of breath,Sore throat,Blurred vision,Loss of appetite,Muscle pain","Drink plenty of water,Regular hand washing,Rest adequately","Azithromycin,Aspirin,Amoxicillin","200mg every 8 hours,1 tablet after meals","Loss of consciousness,High-grade fever","Avoid smoking,Adequate sleep,Regular checkups"
Disease_139,A simulated disease profile for Disease_139 with common medical symptoms and treatments.,"Fever,Cough,Headache,Blurred vision,Muscle pain","Use protective gear,Drink plenty of water,Regular hand washing","Ibuprofen,Omeprazole,Aspirin","1 tablet after meals,10ml thrice a day","Uncontrolled bleeding,Loss of consciousness","Stress management,Low-fat diet,Daily exercise"
Disease_140,A simulated disease profile for Disease_140 with common medical symptoms and treatments.,"Headache,Fatigue,Vomiting,Muscle pain,Blurred vision","Avoid spicy food,Physical distancing,Maintain hygiene","Paracetamol,Aspirin,Amoxicillin","10ml thrice a day,100mg once daily","Loss of consciousness,Difficulty breathing","Hydration,Stress management,Daily exercise"
Disease_141,A simulated disease profile for Disease_141 with common medical symptoms and treatments.,"Shortness of breath,Rash,Dizziness,Loss of appetite,Sore throat","Drink plenty of water,Avoid spicy food,Use protective gear","Prednisone,Aspirin,Omeprazole","1 tablet after meals,500mg twice a day","Severe chest pain,Loss of consciousness","Limit alcohol intake,Adequate sleep,Regular checkups"
Disease_142,A simulated disease profile for Disease_142 with common medical symptoms and treatments.,"Chest pain,Fever,Loss of appetite,Dizziness,Vomiting","Drink plenty of water,Use protective gear,Eat a balanced diet","Prednisone,Paracetamol,Amoxicillin","200mg every 8 hours,100mg once daily","Loss of consciousness,Severe chest pain","Daily exercise,Avoid smoking,Adequate sleep"
Disease_143,A simulated disease profile for Disease_143 with common medical symptoms and treatments.,"Nausea,Loss of appetite,Vomiting,Blurred vision,Fatigue","Eat a balanced diet,Use protective gear,Vaccination","Prednisone,Amoxicillin,Paracetamol","250mg every 6 hours,200mg every 8 hours","Uncontrolled bleeding,Severe chest pain","Low-fat diet,Hydration,Daily exercise"
Disease_144,A simulated disease profile for Disease_144 with common medical symptoms and treatments.,"Blurred vision,Cough,Loss of appetite,Chest pain,Joint pain","Use protective gear,Rest adequately,Avoid contact with infected individuals","Loratadine,Metformin,Prednisone","200mg every 8 hours,100mg once daily","Difficulty breathing,High-grade fever","Adequate sleep,Hydration,Low-fat diet"
Disease_145,A simulated disease profile for Disease_145 with common medical symptoms and treatments.,"Headache,Shortness of breath,Blurred vision,Cough,Vomiting","Maintain hygiene,Vaccination,Drink plenty of water","Prednisone,Loratadine,Amoxicillin","1 tablet after meals,500mg twice a day","Severe chest pain,Loss of consciousness","Limit alcohol intake,Avoid smoking,Hydration"
Disease_146,A simulated disease profile for Disease_146 with common medical symptoms and treatments.,"Blurred vision,Fever,Joint pain,Nausea,Fatigue","Vaccination,Avoid spicy food,Physical distancing","Loratadine,Amoxicillin,Cetirizine","10ml thrice a day,250mg every 6 hours","Uncontrolled bleeding,Loss of consciousness","Hydration,Regular checkups,Adequate sleep"
Disease_147,A simulated disease profile for Disease_147 with common medical symptoms and treatments.,"Headache,Cough,Joint pain,Fever,Fatigue","Physical distancing,Rest adequately,Vaccination","Cetirizine,Azithromycin,Ibuprofen","200mg every 8 hours,1 tablet after meals","Severe dehydration,High-grade fever","Daily exercise,Low-fat diet,Adequate sleep"
Disease_148,A simulated disease profile for Disease_148 with common medical symptoms and treatments.,"Chest pain,Blurred vision,Fatigue,Dizziness,Nausea","Rest adequately,Vaccination,Avoid contact with infected individuals","Aspirin,Cetirizine,Ibuprofen","200mg every 8 hours,250mg every 6 hours","Uncontrolled bleeding,Loss of consciousness","Low-fat diet,Regular checkups,Hydration"
Disease_149,A simulated disease profile for Disease_149 with common medical symptoms and treatments.,"Muscle pain,Shortness of breath,Fever,Vomiting,Sore throat","Regular hand washing,Vaccination,Avoid spicy food","Aspirin,Azithromycin,Cetirizine","1 tablet after meals,100mg once daily","Loss of consciousness,High-grade fever","Regular checkups,Stress management,Daily exercise"
Disease_150,A simulated disease profile for Disease_150 with common medical symptoms and treatments.,"Fever,Sore throat,Cough,Nausea,Loss of appetite","Eat a balanced diet,Avoid contact with infected individuals,Avoid spicy food","Paracetamol,Loratadine,Cetirizine","250mg every 6 hours,10ml thrice a day","Severe dehydration,Loss of consciousness","Hydration,Limit alcohol intake,Daily exercise"
Disease_151,A simulated disease profile for Disease_151 with common medical symptoms and treatments.,"Joint pain,Fatigue,Sore throat,Vomiting,Blurred vision","Avoid contact with infected individuals,Maintain hygiene,Use protective gear","Metformin,Amoxicillin,Azithromycin","250mg every 6 hours,10ml thrice a day","Uncontrolled bleeding,High-grade fever","Adequate sleep,Daily exercise,Stress management"
Disease_152,A simulated disease profile for Disease_152 with common medical symptoms and treatments.,"Cough,Headache,Fever,Rash,Blurred vision","Physical distancing,Eat a balanced diet,Regular hand washing","Azithromycin,Ibuprofen,Omeprazole","100mg once daily,10ml thrice a day","High-grade fever,Difficulty breathing","Adequate sleep,Limit alcohol intake,Hydration"
Disease_153,A simulated disease profile for Disease_153 with common medical symptoms and treatments.,"Rash,Chest pain,Blurred vision,Dizziness,Muscle pain","Eat a balanced diet,Vaccination,Avoid contact with infected individuals","Ibuprofen,Cetirizine,Metformin","10ml thrice a day,500mg twice a day","Difficulty breathing,Severe chest pain","Avoid smoking,Adequate sleep,Regular checkups"
Disease_154,A simulated disease profile for Disease_154 with common medical symptoms and treatments.,"Vomiting,Cough,Fever,Chest pain,Blurred vision","Maintain hygiene,Rest adequately,Use protective gear","Paracetamol,Loratadine,Amoxicillin","10ml thrice a day,1 tablet after meals","Severe dehydration,Difficulty breathing","Limit alcohol intake,Daily exercise,Stress management"
Disease_155,A simulated disease profile for Disease_155 with common medical symptoms and treatments.,"Dizziness,Fever,Chest pain,Shortness of breath,Joint pain","Use protective gear,Drink plenty of water,Eat a balanced diet","Aspirin,Paracetamol,Omeprazole","500mg twice a day,1 tablet after meals","Severe chest pain,Loss of consciousness","Low-fat diet,Avoid smoking,Stress management"
Disease_156,A simulated disease profile for Disease_156 with common medical symptoms and treatments.,"Cough,Muscle pain,Headache,Loss of appetite,Shortness of breath","Eat a balanced diet,Avoid spicy food,Maintain hygiene","Paracetamol,Loratadine,Azithromycin","500mg twice a day,10ml thrice a day","Difficulty breathing,Severe chest pain","Hydration,Daily exercise,Stress management"
Disease_157,A simulated disease profile for Disease_157 with common medical symptoms and treatments.,"Dizziness,Chest pain,Cough,Loss of appetite,Vomiting","Avoid contact with infected individuals,Eat a balanced diet,Vaccination","Aspirin,Ibuprofen,Omeprazole","200mg every 8 hours,10ml thrice a day","Uncontrolled bleeding,Loss of consciousness","Regular checkups,Adequate sleep,Low-fat diet"
Disease_158,A simulated disease profile for Disease_158 with common medical symptoms and treatments.,"Blurred vision,Rash,Chest pain,Fever,Dizziness","Physical distancing,Eat a balanced diet,Drink plenty of water","Prednisone,Azithromycin,Amoxicillin","10ml thrice a day,200mg every 8 hours","Loss of consciousness,High-grade fever","Low-fat diet,Regular checkups,Avoid smoking"
Disease_159,A simulated disease profile for Disease_159 with common medical symptoms and treatments.,"Nausea,Dizziness,Shortness of breath,Loss of appetite,Fatigue","Regular hand washing,Physical distancing,Avoid contact with infected individuals","Azithromycin,Cetirizine,Ibuprofen","1 tablet after meals,200mg every 8 hours","Severe dehydration,Loss of consciousness","Daily exercise,Low-fat diet,Regular checkups"
Disease_160,A simulated disease profile for Disease_160 with common medical symptoms and treatments.,"Shortness of breath,Nausea,Blurred vision,Loss of appetite,Joint pain","Vaccination,Drink plenty of water,Eat a balanced diet","Amoxicillin,Omeprazole,Prednisone","250mg every 6 hours,100mg once daily","Severe dehydration,Uncontrolled bleeding","Stress management,Regular checkups,Low-fat diet"
Disease_161,A simulated disease profile for Disease_161 with common medical symptoms and treatments.,"Vomiting,Chest pain,Dizziness,Rash,Fever","Maintain hygiene,Physical distancing,Vaccination","Prednisone,Metformin,Azithromycin","250mg every 6 hours,200mg every 8 hours","Severe dehydration,Severe chest pain","Stress management,Limit alcohol intake,Regular checkups"
Disease_162,A simulated disease profile for Disease_162 with common medical symptoms and treatments.,"Rash,Fatigue,Chest pain,Nausea,Muscle pain","Rest adequately,Physical distancing,Regular hand washing","Ibuprofen,Amoxicillin,Paracetamol","10ml thrice a day,100mg once daily","Loss of consciousness,Uncontrolled bleeding","Daily exercise,Avoid smoking,Regular checkups"
Disease_163,A simulated disease profile for Disease_163 with common medical symptoms and treatments.,"Cough,Muscle pain,Fever,Dizziness,Joint pain","Regular hand washing,Avoid contact with infected individuals,Physical distancing","Loratadine,Metformin,Paracetamol","100mg once daily,200mg every 8 hours","Difficulty breathing,Loss of consciousness","Avoid smoking,Adequate sleep,Hydration"
Disease_164,A simulated disease profile for Disease_164 with common medical symptoms and treatments.,"Fever,Dizziness,Loss of appetite,Fatigue,Joint pain","Use protective gear,Rest adequately,Physical distancing","Paracetamol,Aspirin,Cetirizine","250mg every 6 hours,1 tablet after meals","Severe chest pain,High-grade fever","Hydration,Stress management,Avoid smoking"
Disease_165,A simulated disease profile for Disease_165 with common medical symptoms and treatments.,"Blurred vision,Dizziness,Rash,Fever,Chest pain","Rest adequately,Avoid contact with infected individuals,Physical distancing","Azithromycin,Amoxicillin,Omeprazole","1 tablet after meals,100mg once daily","Loss of consciousness,Uncontrolled bleeding","Adequate sleep,Daily exercise,Avoid smoking"
Disease_166,A simulated disease profile for Disease_166 with common medical symptoms and treatments.,"Chest pain,Cough,Rash,Vomiting,Fatigue","Avoid spicy food,Avoid contact with infected individuals,Vaccination","Cetirizine,Amoxicillin,Aspirin","1 tablet after meals,500mg twice a day","Severe dehydration,High-grade fever","Low-fat diet,Limit alcohol intake,Hydration"
Disease_167,A simulated disease profile for Disease_167 with common medical symptoms and treatments.,"Joint pain,Dizziness,Vomiting,Rash,Sore throat","Maintain hygiene,Vaccination,Avoid contact with infected individuals","Amoxicillin,Cetirizine,Omeprazole","1 tablet after meals,200mg every 8 hours","Difficulty breathing,Loss of consciousness","Adequate sleep,Avoid smoking,Hydration"
Disease_168,A simulated disease profile for Disease_168 with common medical symptoms and treatments.,"Sore throat,Fatigue,Headache,Rash,Fever","Physical distancing,Avoid spicy food,Use protective gear","Aspirin,Cetirizine,Prednisone","200mg every 8 hours,250mg every 6 hours","High-grade fever,Uncontrolled bleeding","Avoid smoking,Stress management,Limit alcohol intake"
Disease_169,A simulated disease profile for Disease_169 with common medical symptoms and treatments.,"Fatigue,Rash,Muscle pain,Cough,Dizziness","Regular hand washing,Avoid contact with infected individuals,Avoid spicy food","Aspirin,Azithromycin,Omeprazole","10ml thrice a day,200mg every 8 hours","Severe chest pain,Severe dehydration","Hydration,Adequate sleep,Limit alcohol intake"
Disease_170,A simulated disease profile for Disease_170 with common medical symptoms and treatments.,"Sore throat,Chest pain,Fatigue,Vomiting,Fever","Eat a balanced diet,Regular hand washing,Drink plenty of water","Prednisone,Aspirin,Metformin","500mg twice a day,100mg once daily","Difficulty breathing,Loss of consciousness","Daily exercise,Hydration,Adequate sleep"
Disease_171,A simulated disease profile for Disease_171 with common medical symptoms and treatments.,"Shortness of breath,Sore throat,Muscle pain,Cough,Blurred vision","Rest adequately,Regular hand washing,Use protective gear","Ibuprofen,Azithromycin,Omeprazole","500mg twice a day,10ml thrice a day","Loss of consciousness,Severe dehydration","Hydration,Daily exercise,Limit alcohol intake"
Disease_172,A simulated disease profile for Disease_172 with common medical symptoms and treatments.,"Nausea,Headache,Cough,Fever,Vomiting","Vaccination,Use protective gear,Avoid spicy food","Metformin,Ibuprofen,Omeprazole","100mg once daily,10ml thrice a day","Uncontrolled bleeding,High-grade fever","Low-fat diet,Avoid smoking,Daily exercise"
Disease_173,A simulated disease profile for Disease_173 with common medical symptoms and treatments.,"Joint pain,Rash,Sore throat,Nausea,Chest pain","Eat a balanced diet,Physical distancing,Regular hand washing","Amoxicillin,Ibuprofen,Azithromycin","1 tablet after meals,100mg once daily","Severe dehydration,Uncontrolled bleeding","Low-fat diet,Hydration,Limit alcohol intake"
Disease_174,A simulated disease profile for Disease_174 with common medical symptoms and treatments.,"Sore throat,Muscle pain,Blurred vision,Rash,Joint pain","Avoid contact with infected individuals,Vaccination,Maintain hygiene","Prednisone,Metformin,Aspirin","200mg every 8 hours,10ml thrice a day","Uncontrolled bleeding,Severe chest pain","Hydration,Adequate sleep,Low-fat diet"
Disease_175,A simulated disease profile for Disease_175 with common medical symptoms and treatments.,"Loss of appetite,Shortness of breath,Nausea,Headache,Fever","Regular hand washing,Vaccination,Physical distancing","Aspirin,Ibuprofen,Amoxicillin","500mg twice a day,10ml thrice a day","Uncontrolled bleeding,High-grade fever","Stress management,Avoid smoking,Hydration"
Disease_176,A simulated disease profile for Disease_176 with common medical symptoms and treatments.,"Blurred vision,Nausea,Dizziness,Shortness of breath,Chest pain","Drink plenty of water,Regular hand washing,Vaccination","Prednisone,Metformin,Omeprazole","500mg twice a day,250mg every 6 hours","Severe dehydration,Uncontrolled bleeding","Daily exercise,Limit alcohol intake,Adequate sleep"
Disease_177,A simulated disease profile for Disease_177 with common medical symptoms and treatments.,"Headache,Sore throat,Fever,Blurred vision,Cough","Maintain hygiene,Regular hand washing,Drink plenty of water","Prednisone,Azithromycin,Ibuprofen","10ml thrice a day,100mg once daily","Loss of consciousness,Difficulty breathing","Avoid smoking,Hydration,Stress management"
Disease_178,A simulated disease profile for Disease_178 with common medical symptoms and treatments.,"Fever,Joint pain,Dizziness,Fatigue,Rash","Use protective gear,Regular hand washing,Eat a balanced diet","Azithromycin,Aspirin,Prednisone","100mg once daily,250mg every 6 hours","Uncontrolled bleeding,Severe chest pain","Adequate sleep,Low-fat diet,Avoid smoking"
Disease_179,A simulated disease profile for Disease_179 with common medical symptoms and treatments.,"Shortness of breath,Chest pain,Muscle pain,Fever,Headache","Avoid spicy food,Vaccination,Maintain hygiene","Amoxicillin,Prednisone,Ibuprofen","500mg twice a day,200mg every 8 hours","Difficulty breathing,Uncontrolled bleeding","Stress management,Limit alcohol intake,Hydration"
Disease_180,A simulated disease profile for Disease_180 with common medical symptoms and treatments.,"Fatigue,Sore throat,Cough,Loss of appetite,Blurred vision","Eat a balanced diet,Avoid contact with infected individuals,Drink plenty of water","Omeprazole,Ibuprofen,Prednisone","1 tablet after meals,250mg every 6 hours","Difficulty breathing,High-grade fever","Avoid smoking,Adequate sleep,Limit alcohol intake"
Disease_181,A simulated disease profile for Disease_181 with common medical symptoms and treatments.,"Sore throat,Dizziness,Chest pain,Muscle pain,Loss of appetite","Maintain hygiene,Rest adequately,Drink plenty of water","Prednisone,Paracetamol,Omeprazole","10ml thrice a day,250mg every 6 hours","High-grade fever,Severe chest pain","Hydration,Adequate sleep,Limit alcohol intake"
Disease_182,A simulated disease profile for Disease_182 with common medical symptoms and treatments.,"Shortness of breath,Fatigue,Loss of appetite,Fever,Cough","Eat a balanced diet,Avoid contact with infected individuals,Drink plenty of water","Cetirizine,Paracetamol,Omeprazole","250mg every 6 hours,500mg twice a day","Severe dehydration,Severe chest pain","Stress management,Limit alcohol intake,Adequate sleep"
Disease_183,A simulated disease profile for Disease_183 with common medical symptoms and treatments.,"Dizziness,Joint pain,Chest pain,Muscle pain,Vomiting","Physical distancing,Eat a balanced diet,Maintain hygiene","Metformin,Prednisone,Amoxicillin","250mg every 6 hours,10ml thrice a day","Loss of consciousness,Severe chest pain","Daily exercise,Hydration,Adequate sleep"
Disease_184,A simulated disease profile for Disease_184 with common medical symptoms and treatments.,"Blurred vision,Muscle pain,Fever,Chest pain,Loss of appetite","Use protective gear,Vaccination,Physical distancing","Cetirizine,Aspirin,Loratadine","100mg once daily,250mg every 6 hours","Severe chest pain,Uncontrolled bleeding","Regular checkups,Hydration,Daily exercise"
Disease_185,A simulated disease profile for Disease_185 with common medical symptoms and treatments.,"Fever,Headache,Dizziness,Rash,Nausea","Eat a balanced diet,Regular hand washing,Drink plenty of water","Cetirizine,Aspirin,Amoxicillin","250mg every 6 hours,1 tablet after meals","Uncontrolled bleeding,Severe chest pain","Limit alcohol intake,Regular checkups,Avoid smoking"
Disease_186,A simulated disease profile for Disease_186 with common medical symptoms and treatments.,"Fever,Loss of appetite,Blurred vision,Vomiting,Sore throat","Avoid spicy food,Avoid contact with infected individuals,Regular hand washing","Azithromycin,Omeprazole,Amoxicillin","250mg every 6 hours,500mg twice a day","Uncontrolled bleeding,Severe chest pain","Daily exercise,Stress management,Hydration"
Disease_187,A simulated disease profile for Disease_187 with common medical symptoms and treatments.,"Fever,Vomiting,Nausea,Cough,Fatigue","Vaccination,Drink plenty of water,Rest adequately","Cetirizine,Prednisone,Azithromycin","200mg every 8 hours,10ml thrice a day","Severe dehydration,Loss of consciousness","Limit alcohol intake,Stress management,Avoid smoking"
Disease_188,A simulated disease profile for Disease_188 with common medical symptoms and treatments.,"Vomiting,Nausea,Shortness of breath,Rash,Cough","Drink plenty of water,Vaccination,Avoid spicy food","Loratadine,Amoxicillin,Paracetamol","1 tablet after meals,100mg once daily","Loss of consciousness,High-grade fever","Avoid smoking,Daily exercise,Limit alcohol intake"
Disease_189,A simulated disease profile for Disease_189 with common medical symptoms and treatments.,"Cough,Loss of appetite,Joint pain,Blurred vision,Headache","Maintain hygiene,Regular hand washing,Vaccination","Amoxicillin,Omeprazole,Loratadine","10ml thrice a day,500mg twice a day","Uncontrolled bleeding,Severe chest pain","Adequate sleep,Regular checkups,Stress management"
Disease_190,A simulated disease profile for Disease_190 with common medical symptoms and treatments.,"Vomiting,Sore throat,Joint pain,Nausea,Dizziness","Drink plenty of water,Avoid contact with infected individuals,Use protective gear","Omeprazole,Cetirizine,Metformin","10ml thrice a day,1 tablet after meals","Severe dehydration,High-grade fever","Avoid smoking,Regular checkups,Low-fat diet"
Disease_191,A simulated disease profile for Disease_191 with common medical symptoms and treatments.,"Vomiting,Joint pain,Loss of appetite,Blurred vision,Dizziness","Use protective gear,Drink plenty of water,Regular hand washing","Omeprazole,Azithromycin,Metformin","1 tablet after meals,100mg once daily","Difficulty breathing,Severe chest pain","Regular checkups,Hydration,Low-fat diet"
Disease_192,A simulated disease profile for Disease_192 with common medical symptoms and treatments.,"Loss of appetite,Blurred vision,Joint pain,Chest pain,Cough","Rest adequately,Drink plenty of water,Eat a balanced diet","Omeprazole,Aspirin,Loratadine","500mg twice a day,1 tablet after meals","Severe dehydration,High-grade fever","Avoid smoking,Regular checkups,Stress management"
Disease_193,A simulated disease profile for Disease_193 with common medical symptoms and treatments.,"Dizziness,Nausea,Chest pain,Sore throat,Fatigue","Regular hand washing,Vaccination,Drink plenty of water","Azithromycin,Omeprazole,Cetirizine","200mg every 8 hours,500mg twice a day","High-grade fever,Difficulty breathing","Daily exercise,Adequate sleep,Regular checkups"
Disease_194,A simulated disease profile for Disease_194 with common medical symptoms and treatments.,"Cough,Vomiting,Fever,Blurred vision,Joint pain","Rest adequately,Eat a balanced diet,Vaccination","Paracetamol,Loratadine,Aspirin","250mg every 6 hours,1 tablet after meals","Severe chest pain,Severe dehydration","Stress management,Avoid smoking,Limit alcohol intake"
Disease_195,A simulated disease profile for Disease_195 with common medical symptoms and treatments.,"Joint pain,Chest pain,Rash,Dizziness,Cough","Avoid spicy food,Physical distancing,Avoid contact with infected individuals","Prednisone,Paracetamol,Cetirizine","200mg every 8 hours,1 tablet after meals","Severe chest pain,Severe dehydration","Stress management,Low-fat diet,Adequate sleep"
Disease_196,A simulated disease profile for Disease_196 with common medical symptoms and treatments.,"Nausea,Chest pain,Fever,Sore throat,Headache","Maintain hygiene,Physical distancing,Avoid contact with infected individuals","Prednisone,Metformin,Loratadine","100mg once daily,200mg every 8 hours","Severe dehydration,High-grade fever","Adequate sleep,Hydration,Avoid smoking"
Disease_197,A simulated disease profile for Disease_197 with common medical symptoms and treatments.,"Shortness of breath,Blurred vision,Muscle pain,Headache,Fever","Avoid contact with infected individuals,Maintain hygiene,Eat a balanced diet","Paracetamol,Loratadine,Cetirizine","1 tablet after meals,500mg twice a day","Uncontrolled bleeding,Severe dehydration","Daily exercise,Low-fat diet,Adequate sleep"
Disease_198,A simulated disease profile for Disease_198 with common medical symptoms and treatments.,"Fatigue,Nausea,Vomiting,Muscle pain,Fever","Avoid contact with infected individuals,Physical distancing,Rest adequately","Omeprazole,Metformin,Loratadine","250mg every 6 hours,1 tablet after meals","Difficulty breathing,Severe chest pain","Avoid smoking,Low-fat diet,Limit alcohol intake"
Disease_199,A simulated disease profile for Disease_199 with common medical symptoms and treatments.,"Dizziness,Shortness of breath,Rash,Fatigue,Cough","Avoid spicy food,Drink plenty of water,Vaccination","Paracetamol,Loratadine,Omeprazole","500mg twice a day,1 tablet after meals","Severe dehydration,High-grade fever","Stress management,Daily exercise,Hydration"
Disease_200,A simulated disease profile for Disease_200 with common medical symptoms and treatments.,"Rash,Muscle pain,Cough,Vomiting,Loss of appetite","Avoid contact with infected individuals,Rest adequately,Avoid spicy food","Ibuprofen,Cetirizine,Prednisone","1 tablet after meals,10ml thrice a day","Difficulty breathing,Loss of consciousness","Limit alcohol intake,Avoid smoking,Stress management"
Disease_201,A simulated disease profile for Disease_201 with common medical symptoms and treatments.,"Fatigue,Rash,Blurred vision,Vomiting,Fever","Avoid spicy food,Avoid contact with infected individuals,Eat a balanced diet","Aspirin,Ibuprofen,Loratadine","10ml thrice a day,500mg twice a day","Severe chest pain,Loss of consciousness","Adequate sleep,Stress management,Avoid smoking"
Disease_202,A simulated disease profile for Disease_202 with common medical symptoms and treatments.,"Sore throat,Joint pain,Muscle pain,Headache,Loss of appetite","Use protective gear,Regular hand washing,Rest adequately","Prednisone,Metformin,Ibuprofen","250mg every 6 hours,200mg every 8 hours","Loss of consciousness,Severe chest pain","Limit alcohol intake,Adequate sleep,Stress management"
Disease_203,A simulated disease profile for Disease_203 with common medical symptoms and treatments.,"Vomiting,Shortness of breath,Headache,Fatigue,Dizziness","Rest adequately,Physical distancing,Avoid spicy food","Prednisone,Loratadine,Amoxicillin","100mg once daily,1 tablet after meals","High-grade fever,Loss of consciousness","Low-fat diet,Regular checkups,Stress management"
Disease_204,A simulated disease profile for Disease_204 with common medical symptoms and treatments.,"Fever,Joint pain,Loss of appetite,Muscle pain,Cough","Maintain hygiene,Vaccination,Physical distancing","Azithromycin,Amoxicillin,Aspirin","250mg every 6 hours,1 tablet after meals","Loss of consciousness,Difficulty breathing","Stress management,Low-fat diet,Hydration"
Disease_205,A simulated disease profile for Disease_205 with common medical symptoms and treatments.,"Dizziness,Muscle pain,Joint pain,Fatigue,Chest pain","Avoid spicy food,Use protective gear,Physical distancing","Paracetamol,Prednisone,Omeprazole","250mg every 6 hours,500mg twice a day","Difficulty breathing,Uncontrolled bleeding","Avoid smoking,Limit alcohol intake,Low-fat diet"
